,block_ch_mc_1,block_ch_mc_2,block_ch_mc_3,block_ch_mc_4,block_ch_mc_5,block_ch_mc_6,block_ch_mc_7,block_ch_mc_8,block_ch_mc_9,block_ch_mc_10,block_ch_mc_11,block_ch_mc_12,block_ch_mc_13,block_ch_mc_14,block_ch_mc_15,block_ch_mc_16,block_ch_mc_17,block_ch_mc_18,block_ch_mc_19,block_ch_mc_20,block_ch_mc_21,block_ch_mc_22,block_ch_mc_23,block_ch_mc_24,block_ch_mc_25,block_ch_mc_26,block_ch_mc_27,block_ch_mc_28,block_ch_mc_29,block_ch_mc_30,block_ch_mc_31,block_ch_mc_32,block_ch_mc_33,block_ch_mc_34,block_ch_mc_35,block_ch_mc_36
Episode 1,13.963852356314456,13.869288731253013,13.373956990851118,13.446672639413922,13.640931748390054,13.6095556921946,13.575564964649525,13.53861852166574,13.498313311137982,13.45416950913139,13.405611326924136,13.35194175711612,13.29230890177388,13.225660416391376,13.150680870336055,13.065704051473368,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664,12.856530343503664
Episode 2,8.788000944130197,8.728488339362176,8.462519427680931,8.584774317630135,8.565028132663915,8.543636432283847,8.52038458404464,8.495018931420052,8.467237502355026,8.436677930383498,8.402901561362334,8.365372262449931,8.323427751900775,8.276240177532975,8.2227609265828,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681,8.091119693474681
Episode 3,35.16864780082975,0.0,65.81977796815592,66.08762680932507,36.44640919050844,36.44640919050844,36.44640919050844,36.44640919050844,1.3188661125271943,1.3188661125271943,1.3188661125271943,1.3188661125271943,1.3188661125271943,1.3188661125271943,0.0,5.840354815813803,5.209596495705912,29.45731785028653,54.64748162176926,68.77709756083308,38.14689075575685,66.92281089014729,60.78095406100711,67.36538819900376,67.36538819900376,67.36538819900376,67.36538819900376,67.36538819900376,1.3188661125271943,0.0,34.59924949135883,1.3188661125271943,0.0,36.57641909901319,32.62616583631918,1.3188661125271943
Episode 4,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262,1390.9679189850262
Episode 5,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986,1380.6395948173986
Episode 6,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729,1841.189824517729
Episode 7,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475,2691.9550594092475
Episode 8,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034,5443.875130557034
Episode 9,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895,6723.8729563384895
Episode 10,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099,7503.646500443099
Episode 11,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818,1187.7954383785818
Episode 12,16.26964820317342,15.667068640092928,15.893404989307792,15.856847928743324,15.817244446465152,15.77419718311931,15.727236532196578,15.67580343832882,15.619227035074289,15.556695220950855,15.48721542748038,15.409561540660432,15.322200917987992,15.223192212292563,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116,14.979478475196116
