,block_ch_mq_1,block_ch_mq_2,block_ch_mq_3,block_ch_mq_4,block_ch_mq_5,block_ch_mq_6,block_ch_mq_7,block_ch_mq_8,block_ch_mq_9,block_ch_mq_10,block_ch_mq_11,block_ch_mq_12,block_ch_mq_13,block_ch_mq_14,block_ch_mq_15,block_ch_mq_16,block_ch_mq_17,block_ch_mq_18,block_ch_mq_19,block_ch_mq_20,block_ch_mq_21,block_ch_mq_22,block_ch_mq_23,block_ch_mq_24,block_ch_mq_25,block_ch_mq_26,block_ch_mq_27,block_ch_mq_28,block_ch_mq_29,block_ch_mq_30,block_ch_mq_31,block_ch_mq_32,block_ch_mq_33,block_ch_mq_34,block_ch_mq_35,block_ch_mq_36
Episode 1,13.346153846153852,17.481481481481488,22.80271428589172,27.276888889072872,23.323627692498743,24.396438400198694,25.55865000020698,26.82192347847685,28.200040000225805,29.70940571452228,31.3697080002484,33.2047789476299,35.24374666694268,37.52259294146872,40.08629500031052,42.99182400033124,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373,49.22582153884373
Episode 2,13.346153846153852,17.481481481481488,23.147259259466267,19.035166154061116,19.936438400223555,20.91281666689954,21.974097391547343,23.13185818207222,24.39988190502805,25.79470800027945,27.336357895030996,29.04930222253272,30.963769412093463,33.1175450003493,35.55849066703926,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838,40.64889846196838
Episode 3,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125.0,56.61434977578489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0
Episode 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 12,13.346153846153852,19.017629629859638,14.74670461562346,15.476438400248398,16.26698333359208,17.126271304617823,18.063676363918635,19.090358095533805,20.219708000310497,21.467936842432103,22.85485777812277,24.40494588271823,26.14879500038812,28.125157333747325,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307,32.07197538509307
Episode 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
