,block_dc_mc_1,block_dc_mc_2,block_dc_mc_3,block_dc_mc_4,block_dc_mc_5,block_dc_mc_6,block_dc_mc_7,block_dc_mc_8,block_dc_mc_9,block_dc_mc_10,block_dc_mc_11,block_dc_mc_12,block_dc_mc_13,block_dc_mc_14,block_dc_mc_15,block_dc_mc_16,block_dc_mc_17,block_dc_mc_18,block_dc_mc_19,block_dc_mc_20,block_dc_mc_21,block_dc_mc_22,block_dc_mc_23,block_dc_mc_24,block_dc_mc_25,block_dc_mc_26,block_dc_mc_27,block_dc_mc_28,block_dc_mc_29,block_dc_mc_30,block_dc_mc_31,block_dc_mc_32,block_dc_mc_33,block_dc_mc_34,block_dc_mc_35,block_dc_mc_36
Episode 1,11.410634479655446,11.410634479655446,11.410634479655446,11.410634479655446,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973,13.927907872128973
Episode 2,7.18116061539361,7.18116061539361,7.18116061539361,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906,8.765379667930906
Episode 3,80.57591607091416,0.0,150.80161555836696,151.41529186084992,83.50343250761308,83.50343250761308,83.50343250761308,83.50343250761308,3.021692667673644,3.0216926676736424,3.0216926676736424,3.0216926676736424,3.0216926676736424,3.0216926676736424,0.0,13.381007485089302,11.935858676699658,67.49052122279573,125.20444111412822,157.57721684517003,87.39945548403131,153.328806499832,139.25701894669518,154.34280829754883,154.34280829754883,154.34280829754883,154.34280829754883,154.34280829754883,3.0216926676736424,0.0,79.27135097490364,3.0216926676736424,0.0,83.80130200590578,74.75076138926661,3.0216926676736424
Episode 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 12,13.294827531962934,13.294827531962934,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913,16.22776834812913
Episode 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
