,block_soc_mc_1,block_soc_mc_2,block_soc_mc_3,block_soc_mc_4,block_soc_mc_5,block_soc_mc_6,block_soc_mc_7,block_soc_mc_8,block_soc_mc_9,block_soc_mc_10,block_soc_mc_11,block_soc_mc_12,block_soc_mc_13,block_soc_mc_14,block_soc_mc_15,block_soc_mc_16,block_soc_mc_17,block_soc_mc_18,block_soc_mc_19,block_soc_mc_20,block_soc_mc_21,block_soc_mc_22,block_soc_mc_23,block_soc_mc_24,block_soc_mc_25,block_soc_mc_26,block_soc_mc_27,block_soc_mc_28,block_soc_mc_29,block_soc_mc_30,block_soc_mc_31,block_soc_mc_32,block_soc_mc_33,block_soc_mc_34,block_soc_mc_35,block_soc_mc_36
Episode 1,109.20528070719394,109.20528070719394,109.20528070719394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 2,61.58509561219246,61.58509561219246,61.58509561219246,61.58509561219246,61.58509561219246,61.58509561219246,61.58509561219246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Episode 4,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896,1833.461128545896
Episode 5,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485,467.1653342097485
Episode 6,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082,2669.787814276082
Episode 7,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328,6488.475226389328
Episode 8,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692,5537.04896709692
Episode 9,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778,15476.922744900778
Episode 10,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065,4413.8419315717065
