,time step 1,time step 2,time step 3,time step 4,time step 5,time step 6,time step 7,time step 8,time step 9,time step 10,time step 11,time step 12,time step 13,time step 14,time step 15,time step 16,time step 17,time step 18,time step 19,time step 20,time step 21,time step 22,time step 23,time step 24,time step 25,time step 26,time step 27,time step 28,time step 29,time step 30,time step 31,time step 32,time step 33,time step 34,time step 35,time step 36
1,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441,1.326832441
2,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301,2.108294301
3,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099,1.163341099
4,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764,1.402253764
5,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378,1.41274378
6,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882,1.059363882
7,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616,0.724562616
8,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731,0.358290731
9,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303,0.290084303
10,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951,0.259938951
