,time_step 1,time_step 2,time_step 3,time_step 4,time_step 5,time_step 6,time_step 7,time_step 8,time_step 9,time_step 10,time_step 11,time_step 12,time_step 13,time_step 14,time_step 15,time_step 16,time_step 17,time_step 18,time_step 19,time_step 20,time_step 21,time_step 22,time_step 23,time_step 24,time_step 25,time_step 26,time_step 27,time_step 28,time_step 29,time_step 30,time_step 31,time_step 32,time_step 33,time_step 34,time_step 35,time_step 36
Episode 1,3902.761422,3623.599692,3432.966437,3307.433715,3231.424507,3220.2161,3250.016689,3427.157751,3772.324173,4124.266823,4476.450506,4785.391834,5026.725088,5242.562516,5423.439676,5523.263969,5574.598331,5503.353279,5365.227652,5272.12169,5189.039494,4829.773545,4382.829408,4024.741233,3721.66402,3468.155981,3343.628021,3297.078623,3397.767801,3638.249895,3941.968358,4227.060496,4532.175904,4831.481178,5106.72167,5332.25308
Episode 2,3710.49274,3685.882006,3661.120464,3640.82176,3614.221277,3597.396547,3583.24984,3561.832329,3542.429351,3533.56788,3524.015418,3499.835733,3484.500341,3466.38084,3451.326992,3439.499463,3424.970965,3411.11578,3404.55594,3387.666228,3378.444514,3369.567065,3365.855006,3357.107369,3347.188796,3341.243126,3325.854747,3320.209938,3312.711777,3308.733154,3305.785364,3303.629935,3296.00883,3291.027525,3280.484725,3283.40485
Episode 3,3686.747533,3661.343006,3640.550635,3614.197743,3597.448623,3583.257321,3561.884135,3542.434017,3533.543604,3524.020919,3499.732507,3484.366661,3466.178887,3451.103787,3439.319238,3424.790192,3410.845327,3404.348567,3387.293097,3378.084119,3369.222408,3365.672983,3356.957613,3347.041906,3341.195908,3325.657604,3320.145479,3312.716345,3308.77106,3305.903795,3303.831237,3296.13935,3291.174392,3280.477815,3283.63985,3269.286167
Episode 4,3722.037585,3471.468529,3341.151465,3294.89327,3376.926153,3626.99908,3934.357863,4264.209514,4596.923556,4919.316492,5184.253925,5410.633802,5604.701126,5780.8512,5880.755337,5947.877012,5962.527172,5843.253122,5664.5518,5576.257443,5528.609693,5102.182597,4624.123348,4161.389638,3654.416661,3424.515604,3265.766956,3203.378232,3292.376494,3555.129702,3856.39101,4135.313568,4441.951851,4723.392994,4982.907778,5218.207487
Episode 5,4181.754374,4202.884409,4227.602945,4257.32174,4286.834459,4307.499653,4337.063205,4371.349053,4396.464592,4431.664175,4458.887532,4488.683624,4507.835799,4540.025257,4569.623385,4603.964126,4630.16497,4652.58669,4675.722796,4692.004634,4713.148994,4748.625261,4768.670443,4800.381424,4826.026475,4834.664019,4865.705099,4885.775456,4909.726381,4925.841809,4941.347764,4965.273666,4985.25919,5000.646075,5012.227509,5035.926775
Episode 6,4211.024349,4234.140307,4262.446619,4291.005853,4315.169208,4344.349645,4376.114194,4402.703772,4435.245693,4463.164812,4492.395688,4513.582009,4542.560472,4570.265066,4600.477163,4626.104036,4649.187591,4672.77554,4692.3502,4714.958479,4745.910137,4767.68529,4796.641988,4820.39353,4833.960494,4860.905382,4881.323382,4904.227719,4922.087821,4939.830971,4962.657185,4982.915746,5000.502725,5015.769458,5038.507442,5055.615936
Episode 7,4239.612327,4266.076929,4294.013333,4320.806743,4349.78429,4379.706942,4407.446501,4437.985494,4466.453338,4495.26128,4518.032767,4544.529636,4570.764658,4597.756816,4622.930343,4646.527064,4670.465569,4692.621368,4716.379902,4743.775266,4766.91001,4793.696901,4815.95403,4833.405666,4857.117901,4877.80832,4899.88417,4919.121067,4938.631745,4960.587685,4981.061516,5000.389261,5018.573877,5040.551367,5058.335019,5077.712356
Episode 8,4268.165253,4295.620151,4323.913956,4352.847861,4381.763432,4410.190676,4439.583363,4468.382805,4496.950534,4520.666378,4545.698427,4571.061949,4596.134539,4621.034233,4644.935025,4669.081396,4692.784052,4717.233581,4742.491885,4766.443554,4791.923602,4813.279066,4833.071153,4854.833069,4875.686719,4897.261256,4917.328759,4937.90696,4959.336453,4979.940042,5000.320614,5020.271115,5041.788706,5059.981521,5078.840074,5097.498782
Episode 9,4296.215139,4323.877411,4352.566018,4381.500745,4409.785192,4439.326971,4468.056397,4496.654094,4520.191654,4545.483399,4571.006371,4596.441759,4621.397132,4645.242429,4669.350668,4692.752201,4717.065517,4742.745768,4766.536223,4792.277223,4813.814287,4833.138286,4855.292855,4876.114709,4897.79156,4917.691872,4938.054073,4959.590859,4980.168428,5000.334614,5019.924495,5041.535689,5059.644438,5078.608945,5097.201725,5116.056671
Episode 10,4325.328097,4353.928712,4382.452925,4411.092637,4440.103452,4469.00739,4497.495522,4521.514163,4546.074102,4571.157401,4595.614084,4620.426296,4644.424818,4668.637969,4692.836154,4717.506916,4742.081048,4766.294256,4791.3561,4812.423108,4832.964123,4854.102082,4875.008005,4896.422223,4916.755457,4937.675135,4958.936259,4979.581365,5000.298659,5020.813902,5042.184404,5060.508056,5079.200699,5097.961785,5116.485105,5134.83592
