,time_step 1,time_step 2,time_step 3,time_step 4,time_step 5,time_step 6,time_step 7,time_step 8,time_step 9,time_step 10,time_step 11,time_step 12,time_step 13,time_step 14,time_step 15,time_step 16,time_step 17,time_step 18,time_step 19,time_step 20,time_step 21,time_step 22,time_step 23,time_step 24,time_step 25,time_step 26,time_step 27,time_step 28,time_step 29,time_step 30,time_step 31,time_step 32,time_step 33,time_step 34,time_step 35,time_step 36
Episode 1,14.50534933,16.35146007,18.50534933,18.50534933,11.94025734,18.41408886,6,0.648,0.334732533,0.334732533,0.129708652,0.464441185,0.298018102,0.742849084,2.46830918,6.693087853,12.84814297,22.816,27.87837589,25.816,26.026145,25.56388797,24.67323523,23.78240196,21.816,24.149,21.55445553,21.55445553,21.55445553,21.55445553,23.29102723,15.24596903,19.346,19.346,21.67592047,21.67592047
Episode 2,36.698,36.698,36.698,36.83899575,37.33903913,39.394,39.394,39.394,37.31616504,36.698,28.68738029,38.97743687,39.394,36.698,39.394,39.394,39.394,39.394,34.19253652,38.92688424,39.394,38.57285146,39.394,34.256,39.394,35.969,35.71794502,36.698,35.956,39.394,39.394,39.394,39.394,39.394,39.394,39.394
Episode 3,36.62782259,35.969,36.698,38.61000812,40.03473467,40.561,40.561,35.969,36.05804915,31.376,40.561,40.561,37.37641678,40.561,40.561,40.561,40.561,35.969,40.561,40.561,40.561,39.394,35.969,39.394,38.61208972,38.61208972,38.61208972,38.61208972,40.561,40.561,40.561,40.561,40.561,40.561,40.561,40.561
Episode 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 7,0,0,0,0,1.364574405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.364574405,1.364574405
Episode 8,0,0,0,0.673422356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673422356,0.673422356,0.673422356
Episode 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Episode 13,34.256,33.95737269,28.89746881,39.6640029,40.58109637,40.64199546,35.75524795,35.969,34.256,40.64199546,40.64199546,39.75711204,40.64199546,40.64199546,40.64199546,40.64199546,35.969,40.64199546,40.64199546,40.561,40.561,36.61700454,40.64199546,40.561,40.561,40.561,40.48916682,40.64199546,40.64199546,40.64199546,40.64199546,40.64199546,40.64199546,40.64199546,40.64199546,40.64199546
Episode 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
