,time_step 1,time_step 2,time_step 3,time_step 4,time_step 5,time_step 6,time_step 7,time_step 8,time_step 9,time_step 10,time_step 11,time_step 12,time_step 13,time_step 14,time_step 15,time_step 16,time_step 17,time_step 18,time_step 19,time_step 20,time_step 21,time_step 22,time_step 23,time_step 24,time_step 25,time_step 26,time_step 27,time_step 28,time_step 29,time_step 30,time_step 31,time_step 32,time_step 33,time_step 34,time_step 35,time_step 36
Episode 1,0,13.300989,10.582504,11.610863,8.698625,368.786975,1314.157591,2564.5078,3209.782117,3458.075393,3624.001925,3634.254542,3599.029029,3381.923535,2875.062837,2670.178179,2366.169462,1080.722162,308.821014,97.10038,75.309387,52.457418,43.329515,50.435254,26.620574,28.2124,23.286395,20.73725,21.637165,285.059999,1006.736141,2262.127992,3110.160883,3342.289769,3508.147785,3559.940353
Episode 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15638,0,0,32.370149,20.483908,30.391478,25.05357,31.497527,31.730296,37.124771,0,0,0,0,8.940519,0,5.824787,8.05542,13.26223,0,0,0
Episode 3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.231658,0,0,33.079947,20.952571,31.112298,25.666407,32.288876,32.546371,38.099508,0,0,0,0,9.193531,0,5.993151,8.290434,13.652479,0,0,0,0
Episode 4,0,0,0,0,0,716.035365,2623.652568,3723.647695,3788.27295,3901.148172,3815.246114,3677.291226,1844.67627,0,0,853.984321,1045.268494,0,0,0,0,0,0,0,0,0,0,0,0,73.463857,517.160729,1266.48718,2957.866389,3611.156165,3056.361283,2593.391563
Episode 5,3606.233032,3690.810331,3749.164484,3773.361596,3858.127164,3898.815599,3955.064251,4028.697614,3986.024562,3992.625672,4061.39591,4088.105401,4012.554767,3994.685833,3998.124973,3967.470382,3899.430545,3839.000917,3813.798647,3802.457237,3788.134915,3750.19749,3751.829872,3743.717322,3728.775361,3741.936149,3765.322801,3785.059172,3784.841437,3777.111818,3762.20657,3776.82843,3825.143648,3806.563034,3822.237743,3848.930633
Episode 6,3617.292013,3683.399112,3710.053161,3765.785846,3796.737664,3836.014903,3885.273836,3866.126352,3875.430887,3921.424579,3942.437545,3896.104837,3884.016082,3884.612766,3864.716857,3822.280568,3784.315243,3767.483431,3758.974961,3748.656146,3724.07343,3723.356173,3716.75319,3708.404292,3717.038175,3731.862178,3744.485485,3745.035589,3741.034786,3732.683136,3742.214155,3772.166353,3761.582416,3771.759907,3788.62112,3823.756773
Episode 7,3628.350993,3665.207368,3699.209877,3721.704899,3747.221088,3777.137379,3774.985412,3785.778849,3813.80962,3829.986725,3805.907929,3798.056118,3796.235907,3784.553907,3761.986473,3741.511921,3731.182948,3724.854186,3717.644004,3703.532386,3700.948413,3695.516914,3692.349216,3697.402652,3705.458231,3712.451205,3713.59182,3712.523331,3709.34094,3714.836064,3730.248504,3725.97953,3731.79292,3740.855149,3759.662292,3777.577527
Episode 8,3639.409974,3663.640069,3680.349439,3697.166995,3715.240039,3722.250641,3733.493203,3750.66902,3763.697488,3752.536448,3747.034869,3743.645809,3736.748769,3725.964018,3715.898744,3709.431092,3704.383743,3699.018695,3691.184109,3687.466519,3682.730098,3682.675437,3685.564107,3689.529808,3693.116134,3694.604058,3695.298678,3695.233439,3698.283098,3704.895806,3704.439195,3707.604851,3711.938875,3720.850787,3729.443937,3729.365209
Episode 9,3650.468954,3680.835835,3701.771887,3723.14653,3730.042821,3741.882891,3761.350499,3775.330281,3762.15697,3756.421507,3753.477464,3745.801908,3732.858391,3720.844353,3713.662616,3708.391533,3702.685464,3693.626883,3690.144903,3685.279975,3684.611017,3687.939967,3692.73515,3697.016589,3698.443028,3698.788302,3698.096902,3701.648719,3710.058824,3708.832288,3712.544674,3717.851813,3728.796538,3739.309058,3737.984972,3745.496913
Episode 10,3661.527935,3679.507547,3694.487306,3704.917669,3716.474815,3730.229853,3742.311211,3735.355635,3730.63551,3726.760502,3721.412053,3714.414378,3707.690402,3702.462768,3697.827859,3693.055161,3687.23116,3683.151378,3678.63799,3679.579939,3681.776281,3684.433829,3686.930717,3688.530133,3689.789054,3690.721114,3692.988811,3696.787329,3697.550248,3699.86935,3702.691514,3708.439255,3714.051633,3715.930174,3720.596445,3727.874119
Episode 11,3672.586915,3688.335143,3699.817656,3711.410137,3724.074793,3735.806487,3730.087544,3725.573826,3721.520597,3716.631306,3710.800531,3705.113791,3700.269373,3695.75936,3691.169637,3685.97904,3681.78231,3677.337802,3678.595127,3680.569799,3682.808961,3684.956579,3686.589876,3688.02764,3689.277467,3691.293834,3694.189746,3695.342057,3697.388457,3699.724244,3704.454794,3709.108075,3711.613447,3715.722729,3721.335426,3725.072473
Episode 12,3683.645896,3746.68995,3772.211448,3806.688446,3828.646531,3808.246622,3802.688599,3802.899607,3791.965302,3768.395527,3746.551944,3735.80663,3729.479873,3722.067154,3706.588173,3704.402557,3698.891533,3694.968478,3700.680454,3709.955958,3718.006834,3719.133149,3717.620773,3713.568817,3719.853808,3738.014099,3732.640446,3739.338174,3749.948123,3771.957859,3792.931586,3784.866821,3798.489681,3832.455016,3841.051068,3855.851109
Episode 13,0,0,0,0,0,0,0,0,0,0,0,0,2.560343,0,0,20.102662,12.746457,18.94474,15.641464,19.691574,19.861456,23.263758,0,0,0,0,5.625875,0,3.669776,5.077904,8.364358,0,0,0,0,0
Episode 14,3694.704877,3708.485649,3721.083376,3732.9122,3727.865098,3723.512598,3719.439432,3714.767297,3709.411335,3704.134332,3699.443073,3694.985865,3690.468912,3685.516139,3681.278437,3676.86113,3678.235296,3680.130283,3682.218583,3684.240978,3685.888032,3687.391694,3688.757141,3690.683872,3693.256297,3694.549569,3696.499165,3698.661779,3703.029565,3707.34145,3710.07218,3713.984015,3719.004507,3722.642955,3726.619625,3729.211718
Episode 15,3705.763857,3755.475446,3780.703294,3771.510252,3768.452186,3768.11608,3760.621311,3744.906867,3729.910607,3721.707779,3716.232896,3710.027279,3698.611737,3695.698024,3690.638278,3688.725643,3693.041283,3699.677897,3705.530257,3706.879944,3706.504394,3704.463237,3709.168591,3721.646484,3718.732288,3723.718367,3731.272517,3746.888065,3761.836192,3757.721393,3767.849092,3791.356048,3798.191819,3809.110636,3803.314443,3804.805473
Episode 16,3716.822838,3815.205931,3815.34253,3818.467028,3825.01397,3815.76003,3788.37687,3761.880698,3749.579709,3743.018958,3734.82098,3715.286494,3714.125416,3708.297982,3702.206669,3709.669314,3722.206114,3733.045559,3734.050124,3731.273919,3724.841089,3733.176045,3758.552797,3750.195188,3759.158664,3773.762079,3804.068817,3832.925283,3819.913702,3838.189245,3885.880292,3896.935369,3916.970565,3900.24238,3899.536296,3917.83433
Episode 17,3727.881818,3770.857527,3778.416211,3784.04918,3778.342382,3759.954706,3741.500316,3732.133121,3726.480422,3719.674682,3705.186025,3703.040076,3697.734992,3694.181751,3699.811444,3708.897242,3716.840103,3718.090731,3716.758996,3712.924748,3719.163573,3737.047974,3731.890118,3738.568077,3749.107037,3770.927312,3791.766232,3783.940798,3797.540147,3831.300926,3839.963884,3854.78412,3844.396344,3844.990476,3858.619631,3879.416477
Episode 18,3723.525252,3719.229644,3714.894572,3710.540681,3706.168277,3701.794354,3697.431695,3693.073723,3688.714113,3684.344123,3679.990612,3675.632844,3677.301444,3678.982435,3680.668124,3682.352281,3684.027354,3685.698913,3687.367053,3689.048894,3690.746614,3692.412937,3694.09539,3695.783121,3699.159577,3702.534714,3705.870689,3709.235939,3712.628767,3715.987284,3719.354224,3722.686677,3726.034146,3729.399457,3732.77459,3736.14779
