,time_step 1,time_step 2,time_step 3,time_step 4,time_step 5,time_step 6,time_step 7,time_step 8,time_step 9,time_step 10,time_step 11,time_step 12,time_step 13,time_step 14,time_step 15,time_step 16,time_step 17,time_step 18,time_step 19,time_step 20,time_step 21,time_step 22,time_step 23,time_step 24,time_step 25,time_step 26,time_step 27,time_step 28,time_step 29,time_step 30,time_step 31,time_step 32,time_step 33,time_step 34,time_step 35,time_step 36
Episode 1,2785.550972,1691.750115,1418.371392,1180.353734,1091.639943,858.782036,668.465019,587.446424,631.197162,769.779495,922.000712,1214.106287,1310.034906,1502.275404,1731.738947,1783.68433,1627.151005,1631.754291,1708.39199,1775.152018,1824.70677,1648.138056,1550.429769,1526.618127,1536.963226,1484.383018,1481.350853,1328.497579,1122.673099,1217.72771,1034.329577,878.1317,910.736086,903.901102,773.383932,790.293035
Episode 2,2582.522476,1938.884165,1702.065679,1543.680565,1454.654738,1392.505014,1355.022896,1298.980325,1230.22873,1188.761285,1151.985007,1128.734663,1113.229785,1097.439552,1056.47264,1057.573562,1010.881931,982.005249,934.654695,927.836085,903.515211,892.197548,884.465054,911.90966,869.081869,852.835851,806.975154,812.412362,821.748588,813.415958,836.773943,845.001096,852.467249,858.073843,857.26138,871.347473
Episode 3,2501.311077,1864.330787,1626.486375,1500.157895,1419.345014,1369.598972,1305.432818,1230.613833,1184.363668,1143.832703,1117.703755,1100.016559,1082.506403,1039.718167,1040.023226,991.805949,962.176959,913.798803,907.004598,882.416043,871.248645,863.851602,892.638651,849.380136,833.455699,787.147015,793.590144,804.09499,796.148882,820.835895,829.991416,838.392486,844.904515,844.828049,860.115938,883.890182
Episode 4,3165.078909,4282.127366,4173.635501,3029.83763,2233.71688,2753.464475,2263.286582,802.416977,1090.597447,1431.917815,821.687056,870.696573,1141.543573,613.380564,0,0,0,0,976.0337,2807.370302,3683.3094,4034.766669,1857.667071,81.347527,0,145.411345,398.067392,540.452484,378.619452,35.250516,0,0,0,0,0,0
Episode 5,648.879075,634.164624,655.858203,688.038625,732.079187,775.989758,808.746532,833.232934,894.209012,922.391588,1002.145559,1097.17564,1183.162519,1320.183698,1441.516968,1563.461584,1672.017134,1782.108882,1851.95506,1967.074307,2108.883037,2227.001108,2373.210704,2475.611515,2572.683827,2695.431665,2811.243063,2936.136867,3101.772912,3234.971269,3339.482483,3451.960965,3622.777143,3766.607758,3944.670617,4083.313269
Episode 6,670.806153,675.931291,700.620609,734.08389,768.472123,796.817466,820.40391,865.434844,891.273512,947.714267,1013.428693,1086.782701,1190.695573,1285.327832,1380.39346,1467.465779,1555.486936,1619.295817,1710.365734,1817.552366,1910.480626,2020.386628,2103.857136,2186.250043,2284.163916,2377.889986,2477.116208,2601.012367,2705.288109,2792.196004,2883.928648,3011.014252,3121.759182,3253.265688,3360.883469,3334.641586
Episode 7,692.73323,709.533307,735.529234,762.946258,787.920086,810.73128,843.562085,867.468707,905.865545,948.778789,1012.131203,1090.118906,1163.724125,1237.573239,1307.605214,1378.106432,1436.944453,1508.925149,1588.700548,1661.604257,1742.72699,1811.0727,1881.689489,1959.821973,2035.928872,2114.704094,2205.4474,2286.682777,2359.493366,2434.644631,2526.961907,2611.351109,2705.829925,2788.709034,2769.662534,2748.119758
Episode 8,714.660308,736.301444,759.900592,782.904531,805.194663,830.906357,853.585592,881.311771,910.667971,967.958281,1030.421962,1091.361847,1152.402468,1212.097185,1271.963315,1327.676468,1388.072731,1451.256447,1511.99189,1575.669768,1634.780912,1698.180454,1764.271444,1829.63771,1895.961412,1966.579933,2033.790333,2097.977561,2163.004698,2234.198004,2302.545794,2374.521151,2442.32955,2427.547475,2411.864096,2402.361485
Episode 9,736.587385,759.936413,783.365954,805.901886,832.776389,855.813259,885.465527,917.355863,975.920709,1041.404712,1104.889887,1168.531756,1230.376561,1292.458327,1348.933046,1411.733727,1478.315097,1541.588669,1608.858238,1669.936066,1734.897893,1803.516199,1871.150527,1940.088271,2014.874465,2085.025018,2151.058602,2218.235718,2293.818695,2365.525796,2442.182882,2513.158882,2497.587558,2480.780686,2472.406638,2453.734201
Episode 10,758.514463,781.135007,803.338365,826.746647,849.066794,873.363499,898.372634,953.738576,1011.234043,1068.128209,1125.07821,1181.475083,1237.947268,1292.67188,1349.368417,1407.248991,1464.097754,1522.199879,1578.363037,1639.459665,1701.703682,1763.638989,1825.98419,1890.169512,1952.898003,2014.330966,2076.123605,2140.564204,2203.784863,2268.566456,2331.558146,2318.142491,2304.335251,2293.186896,2278.787987,2265.24979
